city,region,magnitude,url,place,date,intensity,significance,tsunami,latitude,longitude,depth_km
Kokopo,Papua New Guinea,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gyhq,"190 km ESE of Kokopo, Papua New Guinea",2009-06-23,5.298,693,0,-5.157,153.782,64.0
Guanaja,Honduras,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gxkj,"46 km NW of Guanaja, Honduras",2009-05-28,7.848,1560,0,16.731,-86.217,19.0
Kermadec Islands ,Kermadec Islands ,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gx5u,Kermadec Islands region,2009-05-16,,651,0,-31.553,-178.833,43.0
Kuril sk,Russia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gwbe,"290 km ENE of Kuril’sk, Russia",2009-04-18,,670,0,46.015,151.427,35.0
South Sandwich Islands ,South Sandwich Islands ,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gw7m,South Sandwich Islands region,2009-04-16,,691,0,-60.203,-26.858,20.0
Kuril Islands,Kuril Islands,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gvv4,Kuril Islands,2009-04-07,,732,0,46.049,151.548,31.0
Ohonua,Tonga,7.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gv5p,"191 km S of ‘Ohonua, Tonga",2009-03-19,4.556,902,0,-23.043,-174.66,31.0
Svalbard,Svalbard,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gupr,north of Svalbard,2009-03-06,,650,0,80.324,-1.853,9.0
Kermadec Islands ,Kermadec Islands ,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gu5x,Kermadec Islands region,2009-02-18,,754,0,-27.424,-176.33,25.0
Sarangani,Philippines,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gtnc,"196 km SSE of Sarangani, Philippines",2009-02-11,6.635,799,0,3.886,126.387,20.0
the Loyalty Islands,the Loyalty Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gstk,southeast of the Loyalty Islands,2009-01-19,,670,0,-22.596,170.911,12.0
the Kuril Islands,the Kuril Islands,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gsmz,east of the Kuril Islands,2009-01-15,,845,0,46.857,155.154,36.0
Tadine,New Caledonia,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gsm5,"298 km ESE of Tadine, New Caledonia",2009-01-15,,691,0,-22.352,170.635,27.0
Manokwari,Indonesia,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gs3t,"86 km WNW of Manokwari, Indonesia",2009-01-03,6.899,845,0,-0.691,133.305,23.0
Jurm,Afghanistan,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gs2v,"50 km S of Jurm, Afghanistan",2009-01-03,4.138,765,0,36.419,70.743,204.8
Manokwari,Indonesia,7.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gs2d,"140 km WNW of Manokwari, Indonesia",2009-01-03,6.998,914,0,-0.414,132.885,17.0
Kermadec Islands ,Kermadec Islands ,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gq7y,Kermadec Islands region,2008-12-09,,711,0,-31.232,-176.924,18.0
Mil kovo,Russia,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gpbs,"284 km WSW of Mil’kovo, Russia",2008-11-24,,822,0,54.203,154.322,492.3
Gorontalo,Indonesia,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gnur,"135 km NW of Gorontalo, Indonesia",2008-11-16,7.08,845,0,1.271,122.091,30.0
Ohonua,Tonga,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gkje,"130 km ESE of ‘Ohonua, Tonga",2008-10-19,,735,0,-21.863,-173.819,29.0
Brisas Barra de Suchiate,Mexico,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gkde,"19 km SW of Brisas Barra de Suchiate, Mexico",2008-10-16,6.257,728,0,14.423,-92.364,24.0
Nookat,Kyrgyzstan,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gjd4,"131 km SE of Nookat, Kyrgyzstan",2008-10-05,6.422,691,0,39.533,73.824,27.4
Kermadec Islands,New Zealand,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ghyg,"Kermadec Islands, New Zealand",2008-09-29,,754,0,-29.756,-177.683,36.0
Obihiro,Japan,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ggu8,"122 km SSE of Obihiro, Japan",2008-09-11,6.071,711,0,41.892,143.754,25.0
Tobelo,Indonesia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ggu7,"73 km WNW of Tobelo, Indonesia",2008-09-11,5.998,670,0,1.885,127.363,96.0
central Mid Atlantic Ridge,central Mid Atlantic Ridge,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ggsv,central Mid-Atlantic Ridge,2008-09-10,,670,0,8.093,-38.705,9.0
Sola,Vanuatu,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ggp4,"75 km WNW of Sola, Vanuatu",2008-09-08,6.238,732,0,-13.501,166.967,110.0
Jumla,Nepal,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gfga,"221 km NE of Jumla, Nepal",2008-08-25,7.302,694,0,30.901,83.52,12.0
Macquarie Island,Macquarie Island,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ge8h,west of Macquarie Island,2008-08-09,,650,0,-60.648,153.771,10.0
Morioka,Japan,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gczp,"29 km ENE of Morioka, Japan",2008-07-23,7.061,1048,0,39.802,141.464,108.0
Lata,Solomon Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gckc,"146 km WSW of Lata, Solomon Islands",2008-07-19,,670,0,-11.041,164.493,11.0
Namie,Japan,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gcjg,"107 km E of Namie, Japan",2008-07-19,4.855,846,0,37.552,142.214,22.0
Okhotsk,Okhotsk,7.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gbc0,Sea of Okhotsk,2008-07-05,,915,0,53.882,152.886,632.8
South Sandwich Islands ,South Sandwich Islands ,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gazv,South Sandwich Islands region,2008-06-30,,754,0,-58.227,-22.099,8.0
Bamboo Flat,India,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000gapt,"124 km SW of Bamboo Flat, India",2008-06-27,4.823,680,0,11.005,91.824,17.0
Mizusawa,Japan,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g9h6,"24 km WSW of Mizusawa, Japan",2008-06-13,8.35,906,0,39.03,140.881,7.8
Macquarie Island,Macquarie Island,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g8aj,west of Macquarie Island,2008-06-01,,650,0,-59.384,149.66,10.0
central Mid Atlantic Ridge,central Mid Atlantic Ridge,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g7ke,central Mid-Atlantic Ridge,2008-05-23,,650,0,7.313,-34.897,8.0
Tianpeng,China,7.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650,"58 km W of Tianpeng, China",2008-05-12,9.08,1870,0,31.002,103.322,19.0
Merizo Village,Guam,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g5yf,"181 km WSW of Merizo Village, Guam",2008-05-09,,741,0,12.516,143.181,76.0
Hasaki,Japan,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g5rx,"78 km NE of Hasaki, Japan",2008-05-07,4.994,964,0,36.164,141.526,27.0
Adak,Alaska,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g59v,"61 km W of Adak, Alaska",2008-05-02,,670,0,51.864,-177.528,14.0
central Mid Atlantic Ridge,central Mid Atlantic Ridge,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g4r4,central Mid-Atlantic Ridge,2008-04-24,,650,0,-1.182,-23.471,10.0
Adak,Alaska,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g41s,"174 km W of Adak, Alaska",2008-04-16,,670,0,51.878,-179.165,13.0
Macquarie Island ,Macquarie Island ,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g3q9,Macquarie Island region,2008-04-12,,776,0,-55.664,158.453,16.0
Isangel,Vanuatu,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g3eq,"71 km SW of Isangel, Vanuatu",2008-04-09,5.674,820,0,-20.071,168.892,33.0
Hotan,China,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g1w2,"226 km SE of Hotan, China",2008-03-20,7.475,798,0,35.49,81.467,10.0
Philippine Islands ,Philippine Islands ,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g0k9,Philippine Islands region,2008-03-03,4.645,742,0,13.351,125.63,24.0
Kuril Islands,Kuril Islands,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g0jk,Kuril Islands,2008-03-03,,650,0,46.406,153.175,10.0
Padang,Indonesia,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fzyk,"155 km SSW of Padang, Indonesia",2008-02-25,6.462,697,0,-2.245,99.808,25.0
Padang,Indonesia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fzy8,"161 km SSW of Padang, Indonesia",2008-02-25,6.363,676,0,-2.332,99.891,25.0
Sungai Penuh,Indonesia,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fzx4,"164 km WSW of Sungai Penuh, Indonesia",2008-02-25,6.813,839,0,-2.486,99.972,25.0
Sungai Penuh,Indonesia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fzv0,"166 km WSW of Sungai Penuh, Indonesia",2008-02-24,6.291,655,0,-2.405,99.931,22.0
South Sandwich Islands ,South Sandwich Islands ,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fzsd,South Sandwich Islands region,2008-02-23,,711,0,-57.335,-23.433,14.0
Sinabang,Indonesia,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fzau,"56 km NW of Sinabang, Indonesia",2008-02-20,6.93,929,0,2.768,95.964,26.0
Koroni,Greece,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fywh,"50 km S of Koróni, Greece",2008-02-14,5.269,682,0,36.345,21.863,28.0
Methoni,Greece,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fyw4,"35 km S of Methóni, Greece",2008-02-14,6.146,980,0,36.501,21.67,29.0
General Pascual Fentes,Mexico,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fyrt,"9 km SSW of General Pascual Fentes, Mexico",2008-02-12,6.035,767,0,16.357,-94.304,83.0
South Sandwich Islands ,South Sandwich Islands ,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fykt,South Sandwich Islands region,2008-02-10,,670,0,-60.797,-25.586,8.0
northern Mid Atlantic Ridge,northern Mid Atlantic Ridge,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fyep,northern Mid-Atlantic Ridge,2008-02-08,,732,0,10.671,-41.899,9.0
Fiji ,Fiji ,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fwsh,Fiji region,2008-01-15,,650,0,-21.984,-179.535,597.6
Port McNeill,Canada,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fw0w,"267 km WNW of Port McNeill, Canada",2008-01-05,,672,0,51.254,-130.746,15.0
Gisborne,New Zealand,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fuvt,"46 km SSE of Gisborne, New Zealand",2007-12-20,6.105,890,0,-39.011,178.291,20.0
Adak,Alaska,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fuse,"207 km WSW of Adak, Alaska",2007-12-19,,798,0,51.36,-179.509,34.0
agasta,Chile,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fujd,"80 km NNE of Antofagasta, Chile",2007-12-16,6.934,719,0,-22.954,-70.182,45.0
the Fiji Islands,the Fiji Islands,7.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fu3q,south of the Fiji Islands,2007-12-09,,961,0,-25.996,-177.514,152.5
Basse Pointe,Martinique,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ftj1,"18 km WNW of Basse-Pointe, Martinique",2007-11-29,6.6,1512,0,14.944,-61.274,156.0
Kirakira,Solomon Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ftdp,"60 km SSE of Kirakira, Solomon Islands",2007-11-27,6.469,672,0,-10.95,162.149,16.0
Dompu,Indonesia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ft9p,"34 km N of Dompu, Indonesia",2007-11-25,6.556,653,0,-8.224,118.467,18.0
Dompu,Indonesia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ft98,"28 km NNW of Dompu, Indonesia",2007-11-25,6.516,659,0,-8.292,118.37,20.0
Lae,Papua New Guinea,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ft2k,"107 km N of Lae, Papua New Guinea",2007-11-22,5.953,727,0,-5.757,147.098,53.0
Macas,Ecuador,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fsnz,"30 km E of Macas, Ecuador",2007-11-16,5.5,824,0,-2.312,-77.838,122.9
agasta,Chile,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fsmf,"82 km NNE of Antofagasta, Chile",2007-11-15,6.905,718,0,-22.925,-70.237,26.0
Tocopilla,Chile,7.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fshy,"36 km ESE of Tocopilla, Chile",2007-11-14,7.284,1019,0,-22.247,-69.89,40.0
Macquarie Island,Macquarie Island,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fs9s,north of Macquarie Island,2007-11-10,,670,0,-51.777,161.318,10.0
Pagan ,Northern Mariana Islands,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000frnh,"Pagan region, Northern Mariana Islands",2007-10-31,,810,0,18.9,145.388,207.0
Bengkulu,Indonesia,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fr6r,"138 km W of Bengkulu, Indonesia",2007-10-24,5.17,714,0,-3.899,101.02,21.0
the Fiji Islands,the Fiji Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fqqn,south of the Fiji Islands,2007-10-16,,670,0,-25.775,179.53,509.3
Te Anau,New Zealand,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fqks,"70 km N of Te Anau, New Zealand",2007-10-15,6.531,764,0,-44.796,167.553,18.0
the Fiji Islands,the Fiji Islands,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fpxf,south of the Fiji Islands,2007-10-05,,650,0,-25.189,179.459,509.4
Auckland Islands,New Zealand ,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fphp,"Auckland Islands, New Zealand region",2007-09-30,,690,0,-49.138,164.11,18.0
Auckland Islands,New Zealand ,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fpgq,"Auckland Islands, New Zealand region",2007-09-30,,859,0,-49.271,164.115,10.0
the Mariana Islands,the Mariana Islands,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fpg6,south of the Mariana Islands,2007-09-30,,745,0,10.454,145.718,14.0
Volcano Islands,Japan ,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fpca,"Volcano Islands, Japan region",2007-09-28,,883,0,22.013,142.668,260.0
Tadine,New Caledonia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fp9t,"161 km ENE of Tadine, New Caledonia",2007-09-28,,650,0,-21.133,169.373,10.0
Kokopo,Papua New Guinea,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fp59,"154 km ESE of Kokopo, Papua New Guinea",2007-09-26,5.165,713,0,-4.99,153.5,40.0
Padang,Indonesia,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fnrx,"118 km SSW of Padang, Indonesia",2007-09-20,5.441,697,0,-1.999,100.141,30.0
Padang,Indonesia,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fn3d,"153 km SSW of Padang, Indonesia",2007-09-13,6.749,776,0,-2.13,99.627,22.0
Kepulauan Mentawai ,Indonesia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fn34,"Kepulauan Mentawai region, Indonesia",2007-09-13,5.496,650,0,-1.689,99.668,28.9
Sungai Penuh,Indonesia,7.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fn2b,"87 km SW of Sungai Penuh, Indonesia",2007-09-12,7.05,1177,0,-2.625,100.841,35.0
Bengkulu,Indonesia,8.4,https://earthquake.usgs.gov/earthquakes/eventpage/official20070912111026830_34,"122 km SW of Bengkulu, Indonesia",2007-09-12,6.446,1842,0,-4.438,101.367,34.0
Timbiqui,Colombia,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fmtk,"39 km WNW of Timbiquí, Colombia",2007-09-10,6.081,773,0,2.966,-77.963,15.0
Lata,Solomon Islands,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fm6b,"97 km S of Lata, Solomon Islands",2007-09-02,5.27,798,0,-11.61,165.762,35.0
central Mid Atlantic Ridge,central Mid Atlantic Ridge,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fkb6,central Mid-Atlantic Ridge,2007-08-20,,650,0,8.037,-39.251,6.0
Malango,Solomon Islands,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fjw7,"31 km WSW of Malango, Solomon Islands",2007-08-16,5.67,693,0,-9.834,159.465,15.0
San Vicente de Canete,Peru,8.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fjta,"41 km SW of San Vicente de Cañete, Peru",2007-08-15,7.911,1623,0,-13.386,-76.603,39.0
Adak,Alaska,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fjsq,"184 km SSW of Adak, Alaska",2007-08-15,,650,0,50.322,-177.548,9.0
Rengasdengklok,Indonesia,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fj6k,"35 km NNE of Rengasdengklok, Indonesia",2007-08-08,5.342,865,0,-5.859,107.419,280.0
Adak,Alaska,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fhn5,"239 km WSW of Adak, Alaska",2007-08-02,,691,0,51.307,-179.971,21.0
Luganville,Vanuatu,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fhm9,"56 km E of Luganville, Vanuatu",2007-08-01,6.743,807,0,-15.595,167.68,120.0
Tobelo,Indonesia,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fh3s,"140 km NNW of Tobelo, Indonesia",2007-07-26,5.13,735,0,2.872,127.464,25.0
Mikuni,Japan,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fgc3,"133 km WNW of Mikuni, Japan",2007-07-16,3.797,799,0,36.808,134.85,350.4
Kashiwazaki,Japan,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fg9t,"20 km NNW of Kashiwazaki, Japan",2007-07-16,8.071,886,0,37.535,138.446,12.0
Panguna,Papua New Guinea,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ff08,"206 km SSW of Panguna, Papua New Guinea",2007-06-28,,691,0,-7.979,154.635,18.0
southern Mid Atlantic Ridge,southern Mid Atlantic Ridge,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fepk,southern Mid-Atlantic Ridge,2007-06-24,,650,0,-55.645,-2.626,10.0
Iztapa,Guatemala,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fdyv,"43 km SSE of Iztapa, Guatemala",2007-06-13,5.97,1095,0,13.554,-90.618,23.0
Levuka,Fiji,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000fbdn,"203 km SE of Levuka, Fiji",2007-05-06,,650,0,-19.401,-179.354,676.4
Isangel,Vanuatu,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f8mu,"129 km S of Isangel, Vanuatu",2007-04-04,,650,0,-20.688,169.056,10.0
Panguna,Papua New Guinea,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f83w,"113 km SSE of Panguna, Papua New Guinea",2007-04-01,6.567,732,0,-7.306,155.741,10.0
Panguna,Papua New Guinea,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f83p,"99 km SSE of Panguna, Papua New Guinea",2007-04-01,6.707,670,0,-7.169,155.777,10.0
Gizo,Solomon Islands,8.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f83m,"45 km SSE of Gizo, Solomon Islands",2007-04-01,8.228,1030,0,-8.466,157.043,24.0
Isangel,Vanuatu,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f7b9,"134 km S of Isangel, Vanuatu",2007-03-25,,732,0,-20.754,169.354,35.0
Nanao,Japan,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f7b5,"46 km NW of Nanao, Japan",2007-03-25,8.462,780,0,37.336,136.588,8.0
Isangel,Vanuatu,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f7b4,"119 km S of Isangel, Vanuatu",2007-03-25,5.658,781,0,-20.617,169.357,34.0
ifi,Indonesia,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f57a,"206 km SSW of Sofifi, Indonesia",2007-02-20,6.11,691,0,-1.034,126.976,12.0
Kermadec Islands,New Zealand,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f3zy,"Kermadec Islands, New Zealand",2007-01-31,,650,0,-29.776,-178.002,34.0
Maug Islands ,Northern Mariana Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f3za,"Maug Islands region, Northern Mariana Islands",2007-01-30,,670,0,20.98,144.705,20.0
Macquarie Island,Macquarie Island,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f3xh,west of Macquarie Island,2007-01-30,,732,0,-54.74,146.298,11.0
Ternate,Indonesia,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f34b,"126 km WNW of Ternate, Indonesia",2007-01-21,5.125,875,0,1.065,126.282,22.0
the Kuril Islands,the Kuril Islands,8.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f2ab,east of the Kuril Islands,2007-01-13,5.033,1031,0,46.243,154.524,10.0
Kilmia,Yemen,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f1ab,"156 km NW of Kilmia, Yemen",2006-12-30,,670,0,13.313,51.365,15.0
Hengchun,Taiwan,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f115,"26 km W of Hengchun, Taiwan",2006-12-26,6.773,821,0,21.974,120.493,10.0
Hengchun,Taiwan,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000f114,"30 km SW of Hengchun, Taiwan",2006-12-26,6.503,1023,0,21.799,120.547,10.0
the Kuril Islands,the Kuril Islands,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000exg0,east of the Kuril Islands,2006-11-15,,691,0,46.483,154.726,10.0
Kuril Islands,Kuril Islands,8.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000exfn,Kuril Islands,2006-11-15,6.9,1062,0,46.592,153.266,10.0
Taco Pozo,Argentina,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ex8r,"48 km S of Taco Pozo, Argentina",2006-11-13,,717,0,-26.052,-63.283,572.0
Kimbe,Papua New Guinea,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ewu6,"155 km SE of Kimbe, Papua New Guinea",2006-11-07,5.568,670,0,-6.482,151.195,11.0
San Vicente de Canete,Peru,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000evkn,"52 km SW of San Vicente de Cañete, Peru",2006-10-20,5.959,756,0,-13.457,-76.677,23.0
Kimbe,Papua New Guinea,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000evbu,"100 km ESE of Kimbe, Papua New Guinea",2006-10-17,6.344,693,0,-5.881,150.982,32.0
Puako,Hawaii,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/hv5532127,"14 km SW of Puako, Hawaii",2006-10-15,8.992,1531,0,19.877,-155.9346667,38.182
Kuril Islands,Kuril Islands,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eu7k,Kuril Islands,2006-10-01,,652,0,46.47,153.24,19.0
Kuril Islands,Kuril Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eu5f,Kuril Islands,2006-09-30,,670,0,46.351,153.166,11.0
Hihifo,Tonga,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp000etzf,"201 km ESE of Hihifo, Tonga",2006-09-28,3.364,739,0,-16.592,-172.033,28.0
Panguna,Papua New Guinea,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000es7n,"49 km S of Panguna, Papua New Guinea",2006-09-01,6.25,711,0,-6.759,155.512,38.0
San Antonio de los Cobres,Argentina,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000erpk,"74 km WSW of San Antonio de los Cobres, Argentina",2006-08-25,,676,0,-24.403,-67.028,184.0
Ozernovskiy,Russia,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000erp5,"81 km ESE of Ozernovskiy, Russia",2006-08-24,5.63,650,0,51.148,157.522,43.0
Scotia Sea,Scotia Sea,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000erc2,Scotia Sea,2006-08-20,,754,0,-61.029,-34.371,13.0
Norsup,Vanuatu,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eqf9,"51 km NE of Norsup, Vanuatu",2006-08-07,5.433,714,0,-15.798,167.789,150.0
Singaparna,Indonesia,7.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ensm,"226 km SSW of Singaparna, Indonesia",2006-07-17,4.958,953,0,-9.284,107.419,20.0
Adak,Alaska,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000en5e,"199 km WSW of Adak, Alaska",2006-07-08,,670,0,51.214,-179.312,22.0
Attu Station,Alaska,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ekaq,"292 km ESE of Attu Station, Alaska",2006-06-14,,650,0,51.752,177.082,14.0
Kimbe,Papua New Guinea,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ej4t,"111 km E of Kimbe, Papua New Guinea",2006-05-28,6.022,650,0,-5.724,151.133,34.0
Tilichiki,Russia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ehph,"42 km NNW of Tilichiki, Russia",2006-05-22,7.36,670,0,60.772,165.743,19.0
Singkil,Indonesia,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eh8s,"256 km SSW of Singkil, Indonesia",2006-05-16,4.879,721,0,0.093,97.05,12.0
Kermadec Islands ,Kermadec Islands ,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eh87,Kermadec Islands region,2006-05-16,,886,0,-31.81,-179.307,152.0
Pangai,Tonga,8.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eg5g,"47 km SSE of Pangai, Tonga",2006-05-03,6.523,1026,0,-20.187,-174.123,55.0
Copiapo,Chile,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000efw2,"73 km WNW of Copiapó, Chile",2006-04-30,6.782,654,0,-27.211,-71.056,12.0
Copiapo,Chile,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000efv7,"78 km WNW of Copiapó, Chile",2006-04-30,6.791,698,0,-27.017,-71.022,12.0
